carat,cut,color,clarity,depth,table,x,y,z,price
0.9,Premium,E,SI1,61.9,58,6.17,6.1,3.8,4209
1.51,Very Good,J,SI2,63.2,58,7.28,7.25,4.59,6171
1.52,Ideal,E,SI2,61,56,7.45,7.41,4.53,8299
0.9,Very Good,E,SI1,63.2,58,6.12,6.1,3.86,4560
0.53,Ideal,G,VVS1,61.2,55,5.19,5.23,3.19,2005
1.03,Premium,D,VS2,62.9,59,6.43,6.38,4.03,7718
2.01,Premium,I,SI2,62.1,60,8.1,8.03,5.01,9658
0.81,Ideal,G,SI1,62.6,55,5.97,5.94,3.73,2725
0.96,Good,H,VS1,63.9,54,6.27,6.22,3.99,4456
1.63,Ideal,G,VS1,61.7,55,7.6,7.56,4.68,15840
0.7,Very Good,I,VVS1,62.1,58,5.62,5.65,3.5,2565
1.05,Very Good,H,SI2,63.8,58,6.38,6.45,4.09,4112
0.78,Ideal,I,VS2,59.8,58,5.98,6.02,3.59,2652
1.52,Ideal,F,SI2,62.5,57,7.36,7.32,4.59,9533
1.66,Ideal,H,VS1,61.5,56,7.6,7.66,4.69,15210
1.2,Very Good,D,SI1,62.4,58,6.75,6.78,4.23,7646
1.07,Ideal,G,VVS2,61.8,55,6.57,6.61,4.07,8491
1.63,Very Good,H,SI1,59.8,60,7.64,7.68,4.58,10216
2.03,Premium,E,SI2,61.5,59,8.16,8.24,5.04,18310
0.99,Very Good,D,SI1,62.6,57,6.34,6.37,3.98,5671
0.93,Ideal,H,VS1,61.8,55,6.28,6.26,3.88,5375
1.05,Premium,H,VS1,60.1,57,6.62,6.59,3.97,5886
1.5,Good,J,SI2,60.9,62,7.3,7.32,4.45,6746
1.04,Premium,G,SI2,60.3,62,6.56,6.5,3.94,4158
1.3,Ideal,H,VVS2,61.5,55,7.07,7.03,4.34,8954
0.7,Very Good,F,VS2,62.4,59,5.64,5.71,3.54,2400
1.5,Ideal,F,VS2,61.9,56,7.33,7.31,4.53,15584
1.05,Very Good,E,VS2,63.5,57,6.51,6.46,4.12,6586
1.02,Very Good,F,VVS2,62.9,59,6.37,6.42,4.02,8940
0.75,Premium,E,VS2,59.9,61,5.97,5.91,3.56,3108
1.12,Very Good,H,SI1,63.1,56,6.62,6.59,4.17,4576
0.9,Ideal,G,VS2,62.7,56,6.25,6.15,3.89,4133
1.3,Good,D,SI2,57.1,63,7.27,7.22,4.14,6443
2.31,Premium,I,SI2,62.9,58,8.43,8.34,5.27,17218
0.5,Ideal,D,VVS2,60.7,57,5.2,5.15,3.14,2376
1.01,Good,G,VS2,62.7,60,6.27,6.32,3.95,6126
0.73,Ideal,E,SI1,60.9,56,5.84,5.79,3.54,2361
1.02,Very Good,G,VS2,60.5,54,6.48,6.57,3.95,6058
1.01,Fair,H,SI1,64.5,59,6.27,6.23,4.03,3869
1.5,Premium,G,VS2,62.9,54,7.31,7.26,4.58,12308
1.01,Premium,D,SI2,58.8,59,6.58,6.55,3.86,4672
0.81,Very Good,E,SI2,62.4,57,5.91,5.99,3.71,2894
0.72,Very Good,I,VS2,63.3,59,5.66,5.62,3.57,2177
0.72,Very Good,G,VS1,63.5,55,5.75,5.68,3.63,2422
0.7,Very Good,H,VS2,63.6,56,5.6,5.63,3.57,2312
0.73,Premium,G,VS1,61.5,58,5.79,5.75,3.55,2770
