"","price"
"1",9948.3931010819
"2",4343.48969674993
"3",2722.3931391924
"4",1846.26898339135
"5",2322.34991149559
"6",8783.47036492696
"7",4207.00747388229
"8",3050.97154856949
"9",13281.2422527314
"10",16064.4624730118
"11",11977.6870191468
"12",8985.85529435841
"13",8073.83772364217
"14",2731.34693764404
"15",3210.78249940786
"16",13730.3417604493
"17",10769.8898850576
"18",12730.5514887494
"19",5533.60753500334
"20",2921.9930894056
"21",3112.08995266006
"22",5635.48167245864
"23",3792.6231063507
"24",5671.98928817447
"25",13810.509145201
"26",15896.9221525854
"27",4786.34300158273
"28",3370.27633820354
"29",11758.3796346185
"30",4144.21056117397
"31",5135.10088654254
"32",16558.2621410218
"33",2688.16239998578
"34",7789.80313675181
"35",3728.54924675471
"36",2243.05548079781
"37",3040.51184064231
"38",4437.57273362463
"39",5064.63226647749
"40",4240.58529308548
"41",16279.124921286
"42",11409.5969455579
"43",9015.81462174519
"44",5179.07184312222
"45",2951.55870062258
"46",10811.4668928835
"47",2006.76930528415
"48",8223.2178459
"49",2629.74312765864
"50",6922.8208963872
"51",2813.93680768266
"52",12623.9069194831
"53",8591.24697503436
"54",10151.0169998821
"55",6855.06756529537
"56",7490.3736749234
"57",4812.71015406275
"58",12365.2619425972
"59",9939.5340180044
"60",5337.32795941337
"61",3516.37486070985
"62",4247.72232543808
"63",2849.26140799064
"64",2745.3231496207
"65",13379.8718067681
"66",15931.3967417508
"67",7107.63875224839
"68",3459.81315400202
"69",8971.51993098154
"70",2768.96090355875
"71",5293.73063023472
"72",2499.98184218659
"73",9306.30560614519
"74",5883.89897082997
"75",2940.09469040699
"76",3478.03750203614
"77",3421.45755438308
"78",5457.18545627726
"79",12210.9114525289
"80",16074.677820588
"81",2826.3303313438
"82",6098.80821935333
"83",9148.68261098247
"84",5552.38914242289
"85",3143.310922702
"86",11871.8095274588
"87",4558.50580632808
"88",4806.52507471146
"89",5936.4110863387
"90",3371.4706774301
"91",16901.4103454305
"92",3065.78017080709
"93",7725.60326194588
"94",2404.59554344852
"95",4561.17628405424
"96",8662.90762468842
"97",3010.17602255833
"98",5079.89515114128
"99",3866.36945363868
"100",11979.6855180267
"101",4046.87312303937
"102",3948.43849083408
"103",3596.70799077668
"104",2233.23303544281
"105",4215.29376837198
"106",6650.96199056896
"107",16742.0152287339
"108",2080.20678145953
"109",2229.62466650978
"110",15565.446286375
"111",3879.39666832811
"112",4078.83784108255
"113",3629.82096287478
"114",17001.4757599996
"115",3840.14662608997
"116",2223.26999917354
"117",4916.96085586204
"118",9101.26654586231
"119",7611.0275923995
"120",2845.88544846163
"121",8961.60027886562
"122",5855.65610462488
"123",2497.86345682257
"124",5245.9064485815
"125",2844.13838156084
"126",9223.86128567345
"127",9740.09565976312
